Outcome,Exposure,ModelStructure2,ExposureCoefficient,StdErrorCoefExp,ResidModelVariance,RandomEffectLabel,RandEffectVar,IQRExposure,Coef_IQR
cbc_abs_eos,log_msp_pm10,cbc_abs_eos ~ log_msp_pm10 + age + gender + race_afam + season,-0.116525059168121,0.0497925714604925,0.0244884384401686, , ,0.91476248842777,-0.127382856907913

cbc_abs_neut,log_msp_pm10,cbc_abs_neut ~ log_msp_pm10 + age + gender + race_afam + season,-0.208708062708848,0.36839999625442,1.34051357348009, , ,0.91476248842777,-0.228155466964502

log_cbc_abs_neut,log_msp_pm10,log_cbc_abs_neut ~ log_msp_pm10 + age + gender + race_afam + season,-0.109869948614557,0.11109424410769,0.121903197793179, , ,0.91476248842777,-0.120107623568379

cbc_percent_eos,log_msp_pm10,cbc_percent_eos ~ log_msp_pm10 + age + gender + race_afam + season,-1.04117091309768,0.858277525081815,7.27591240644187, , ,0.91476248842777,-1.13818715379024

cbc_percent_neut,log_msp_pm10,cbc_percent_neut ~ log_msp_pm10 + age + gender + race_afam + season,2.97950064833634,2.99883900846482,88.8256275624148, , ,0.91476248842777,3.2571303327679

log_cbc_percent_neut,log_msp_pm10,log_cbc_percent_neut ~ log_msp_pm10 + age + gender + race_afam + season,0.0547386830988194,0.063741595785379,0.0401308025945204, , ,0.91476248842777,0.0598392301731791

cbc_wbc,CDPHE_PM10_mean,cbc_wbc ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.0376641003515281,0.0443105767012172,2.25576620487601, , ,12,-0.00313867502929401

log_cbc_wbc,CDPHE_PM10_mean,log_cbc_wbc ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.00696139376715757,0.0065838280730958,0.0498007913519403, , ,12,-0.000580116147263131

cbc_abs_eos,CDPHE_PM10_mean,cbc_abs_eos ~ CDPHE_PM10_mean + age + gender + race_afam + season,0.0092463578283862,0.00534562380160359,0.0328303917605749, , ,12,0.000770529819032183

cbc_abs_neut,CDPHE_PM10_mean,cbc_abs_neut ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.0431039757038545,0.0336542057927879,1.30124170269029, , ,12,-0.00359199797532121

log_cbc_abs_neut,CDPHE_PM10_mean,log_cbc_abs_neut ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.0148863475939339,0.0102465805532711,0.120624964437653, , ,12,-0.00124052896616116

cbc_percent_eos,CDPHE_PM10_mean,cbc_percent_eos ~ CDPHE_PM10_mean + age + gender + race_afam + season,0.172564866677208,0.0864080931144601,8.57804111007427, , ,12,0.014380405556434

cbc_percent_neut,CDPHE_PM10_mean,cbc_percent_neut ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.384325599028282,0.304364062728935,106.430481317564, , ,12,-0.0320271332523568

log_cbc_percent_neut,CDPHE_PM10_mean,log_cbc_percent_neut ~ CDPHE_PM10_mean + age + gender + race_afam + season,-0.0079249538267766,0.00629893014494814,0.0455840454828715, , ,12,-0.00066041281889805

cbc_wbc,log_vest_NO2,cbc_wbc ~ log_vest_NO2 + age + gender + race_afam + season,-0.362320406173611,0.324987148327427,2.34380394658864, , ,0.762784539272027,-0.474997050306494

log_cbc_wbc,log_vest_NO2,log_cbc_wbc ~ log_vest_NO2 + age + gender + race_afam + season,-0.056758986117713,0.0486215493617348,0.0524621995166586, , ,0.762784539272027,-0.0744102471870781

cbc_abs_eos,log_vest_NO2,cbc_abs_eos ~ log_vest_NO2 + age + gender + race_afam + season,0.0674066288676235,0.0391060018808989,0.0339371791256443, , ,0.762784539272027,0.0883691598311023

cbc_abs_neut,log_vest_NO2,cbc_abs_neut ~ log_vest_NO2 + age + gender + race_afam + season,-0.225393045661319,0.253282395801683,1.42363585742152, , ,0.762784539272027,-0.295487171090837

log_cbc_abs_neut,log_vest_NO2,log_cbc_abs_neut ~ log_vest_NO2 + age + gender + race_afam + season,-0.0705222295119007,0.0779989083342678,0.135010005774405, , ,0.762784539272027,-0.0924536692618397

cbc_percent_eos,log_vest_NO2,cbc_percent_eos ~ log_vest_NO2 + age + gender + race_afam + season,1.34643327924591,0.635298958340894,8.95664154431883, , ,0.762784539272027,1.76515544026482

cbc_percent_neut,log_vest_NO2,cbc_percent_neut ~ log_vest_NO2 + age + gender + race_afam + season,-0.701785259864695,2.33900425913223,121.409014064037, , ,0.762784539272027,-0.920030786851623

log_cbc_percent_neut,log_vest_NO2,log_cbc_percent_neut ~ log_vest_NO2 + age + gender + race_afam + season,-0.0137632433941883,0.048475899056347,0.0521483596402848, , ,0.762784539272027,-0.0180434220747623

cbc_wbc,log_stat_NO2,cbc_wbc ~ log_stat_NO2 + age + gender + race_afam + season,-0.36388985576271,0.272193187235773,2.1823614129688, , ,1.05518097357562,-0.344860137621342

log_cbc_wbc,log_stat_NO2,log_cbc_wbc ~ log_stat_NO2 + age + gender + race_afam + season,-0.0562489489929379,0.0406634300980836,0.0487057451821451, , ,1.05518097357562,-0.0533073950360676

cbc_abs_eos,log_stat_NO2,cbc_abs_eos ~ log_stat_NO2 + age + gender + race_afam + season,0.0495621872060324,0.0334325314378189,0.0329238561493423, , ,1.05518097357562,0.0469703192601022

cbc_abs_neut,log_stat_NO2,cbc_abs_neut ~ log_stat_NO2 + age + gender + race_afam + season,-0.242840769501929,0.212873370026827,1.33479583657202, , ,1.05518097357562,-0.230141345971233

log_cbc_abs_neut,log_stat_NO2,log_cbc_abs_neut ~ log_stat_NO2 + age + gender + race_afam + season,-0.0787672992857188,0.0651309556720029,0.124953111036876, , ,1.05518097357562,-0.0746481421275115

cbc_percent_eos,log_stat_NO2,cbc_percent_eos ~ log_stat_NO2 + age + gender + race_afam + season,1.09928363654939,0.540999469497016,8.62116288682357, , ,1.05518097357562,1.0417963023199

cbc_percent_neut,log_stat_NO2,cbc_percent_neut ~ log_stat_NO2 + age + gender + race_afam + season,-1.07900769188585,1.96912874981728,114.214277877513, , ,1.05518097357562,-1.02258069365058

log_cbc_percent_neut,log_stat_NO2,log_cbc_percent_neut ~ log_stat_NO2 + age + gender + race_afam + season,-0.0225183502927816,0.040735162084387,0.0488777346777136, , ,1.05518097357562,-0.0213407470914446

cbc_wbc,log_CDPHE_NO2_mean,cbc_wbc ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-0.916994344924552,1.84438706636565,2.2890156138202, , ,0.17185025692666,-5.33600799512272

log_cbc_wbc,log_CDPHE_NO2_mean,log_cbc_wbc ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-0.158425253739474,0.275339012402169,0.0510129124978885, , ,0.17185025692666,-0.921879644364364

cbc_abs_eos,log_CDPHE_NO2_mean,cbc_abs_eos ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,0.261320852929631,0.226313378796414,0.0344639519433733, , ,0.17185025692666,1.5206311448295

cbc_abs_neut,log_CDPHE_NO2_mean,cbc_abs_neut ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-2.3904438001595,1.36175322063437,1.24778982835098, , ,0.17185025692666,-13.9100391405272

log_cbc_abs_neut,log_CDPHE_NO2_mean,log_cbc_abs_neut ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-0.722154515309154,0.418079658303216,0.117614994814102, , ,0.17185025692666,-4.20223122283341

cbc_percent_eos,log_CDPHE_NO2_mean,cbc_percent_eos ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,4.49878034704711,3.70195177969213,9.221596893941, , ,0.17185025692666,26.1784906668312

cbc_percent_neut,log_CDPHE_NO2_mean,cbc_percent_neut ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-29.1653049860958,11.8096710684448,93.8469627818753, , ,0.17185025692666,-169.71347909327

log_cbc_percent_neut,log_CDPHE_NO2_mean,log_cbc_percent_neut ~ log_CDPHE_NO2_mean + age + gender + race_afam + season,-0.563729261569682,0.247312891032086,0.0411564708825247, , ,0.17185025692666,-3.28035157846906

cbc_wbc,nicalert,cbc_wbc ~ nicalert + age + gender + race_afam + season,0.0733301016821887,0.23626080867955,2.37183917335723, , ,2,0.0366650508410944

log_cbc_wbc,nicalert,log_cbc_wbc ~ nicalert + age + gender + race_afam + season,0.00981194639127586,0.0353057681297877,0.0529655144166877, , ,2,0.00490597319563793

cbc_abs_eos,nicalert,cbc_abs_eos ~ nicalert + age + gender + race_afam + season,-0.0366721504070137,0.0248533138525644,0.0262464441457764, , ,2,-0.0183360752035068

cbc_abs_neut,nicalert,cbc_abs_neut ~ nicalert + age + gender + race_afam + season,0.199050085349676,0.172142021074216,1.25914475429154, , ,2,0.0995250426748381

log_cbc_abs_neut,nicalert,log_cbc_abs_neut ~ nicalert + age + gender + race_afam + season,0.0445229856238089,0.0529438278311511,0.119105698495629, , ,2,0.0222614928119044

cbc_percent_eos,nicalert,cbc_percent_eos ~ nicalert + age + gender + race_afam + season,-0.680080846590251,0.398776802745817,6.75712011993312, , ,2,-0.340040423295126

cbc_percent_neut,nicalert,cbc_percent_neut ~ nicalert + age + gender + race_afam + season,1.90307429768313,1.41829408832029,85.4740830954469, , ,2,0.951537148841567

log_cbc_percent_neut,nicalert,log_cbc_percent_neut ~ nicalert + age + gender + race_afam + season,0.0347110392325324,0.0302440736351496,0.0388671269491586, , ,2,0.0173555196162662

